"Region","ReportLevel","Report"
"Offaly","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN60-offaly-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""Offaly summary report"">PDF</a>  "
"West Westmeath and Northwest Offaly","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN61-west-westmeath-and-northwest-offaly-hse-dublin-and-midlands-WIP07-04-2025.pdf"" target=""_blank"" title=""West Westmeath and Northwest Offaly summary report"">PDF</a>  "
"North Tipperary","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN62-north-tipperary-hse-midwest-WIP07-04-2025.pdf"" target=""_blank"" title=""North Tipperary summary report"">PDF</a>  "
"Central Tipperary","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN63-central-tipperary-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Central Tipperary summary report"">PDF</a>  "
"West Waterford and Tramore","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN64-west-waterford-and-tramore-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""West Waterford and Tramore summary report"">PDF</a>  "
"North Wexford","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN65-north-wexford-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""North Wexford summary report"">PDF</a>  "
"Southeast Wexford","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN66-southeast-wexford-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Southeast Wexford summary report"">PDF</a>  "
"Central Wexford","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN67-central-wexford-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Central Wexford summary report"">PDF</a>  "
"Southeast Wicklow","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN68-southeast-wicklow-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Southeast Wicklow summary report"">PDF</a>  "
"Northeast Wicklow","CHN","<a href=""https://cdn.jsdelivr.net/gh/CSOIreland/edprofiles@resources/2022/health/pdf/chn/CHN69-northeast-wicklow-hse-dublin-and-south-east-WIP07-04-2025.pdf"" target=""_blank"" title=""Northeast Wicklow summary report"">PDF</a>  "
