OBJECTID,ED_GUID,ED_OFFICIA,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_CO,COUNTY_COD,COUNTY_ENG,COUNTY_GAE,CSO_LEA,SHAPE_Leng,SHAPE_Area
"1463",2ae19629-1c77-13a3-e055-000000000001,Y,KILCORAN,CILL CHUARÁIN,"217095","1","23",SOUTH TIPPERARY,Tiobraid Árann,CAHIR,37737.373069692919671,-47391096.725590504705906
"1464",2ae19629-1c78-13a3-e055-000000000001,Y,KILFEAKLE,CILL FHIACAL,"217096","1","23",SOUTH TIPPERARY,Tiobraid Árann,CASHEL-TIPPERARY,26677.277279037138214,-22309515.582456674426794
"1465",2ae19629-1c79-13a3-e055-000000000001,Y,NEWCASTLE,AN CAISLEÁN NUA,"217138","1","23",SOUTH TIPPERARY,Tiobraid Árann,CAHIR,30614.102251799828082,-36363919.274614714086056
"1466",2ae19629-1c7a-13a3-e055-000000000001,Y,NEWPORT,AN PORT NUA,"217139","1","22",NORTH TIPPERARY,Tiobraid Árann,NEWPORT,34745.985475412773667,-29056446.287528168410063
"1467",2ae19629-1c7b-13a3-e055-000000000001,Y,BALLYMACARBRY,BAILE MHAC CAIRBRE,"227010","1","25",WATERFORD,Port Láirge,PORTLAW-KILMACTHOMAS,30359.774362160336750,-25539757.914959456771612
"1468",2ae19629-1c7c-13a3-e055-000000000001,Y,BALLYMACART,BAILE MHAC AIRT,"227011","4","25",WATERFORD,Port Láirge,DUNGARVAN,35602.341890369192697,-28128384.635964084416628
"1469",2ae19629-1c7d-13a3-e055-000000000001,Y,BALLYNAKILL,BAILE MHIC COILIGH,"227012","1","25",WATERFORD,Port Láirge,WATERFORD CITY EAST,19001.399485803194693,-8852302.774822035804391
"1470",2ae19629-1c7e-13a3-e055-000000000001,Y,BALLYNAMULT,BÉAL NA MOLT,"227013","1","25",WATERFORD,Port Láirge,LISMORE,20936.684073254349642,-19772029.235993627458811
"1471",2ae19629-1c7f-13a3-e055-000000000001,Y,CLONMEL RURAL,CLUAIN MEALA (TUATH),"217055","1","23",SOUTH TIPPERARY,Tiobraid Árann,CLONMEL,25786.100346358689421,-22118045.052995424717665
"1472",2ae19629-1c80-13a3-e055-000000000001,Y,CLONMEL WEST URBAN,CLUAIN MEALA THIAR (UIRBEACH),"217056","1","23",SOUTH TIPPERARY,Tiobraid Árann,CLONMEL,8155.728736445740651,-2507945.209618679247797
"1473",2ae19629-1c81-13a3-e055-000000000001,Y,CLONOULTY EAST,CLUAIN ABHLA THOIR,"217057","1","23",SOUTH TIPPERARY,Tiobraid Árann,CASHEL-TIPPERARY,27046.050284332060983,-18351115.565000846982002
"1474",2ae19629-1c82-13a3-e055-000000000001,Y,KILKEARY,CILL CHÉIRE,"217097","1","22",NORTH TIPPERARY,Tiobraid Árann,NEWPORT,33329.054683757669409,-24748373.321858011186123
"1475",2ae19629-1c83-13a3-e055-000000000001,Y,KILLADRIFFE,CILL AIRDRÍ,"217098","1","23",SOUTH TIPPERARY,Tiobraid Árann,CAHIR,27901.644959886707511,-30522057.056936722248793
"1476",2ae19629-1c85-13a3-e055-000000000001,Y,KILLAVINOGE,CILL MOMHÉANÓG,"217100","1","22",NORTH TIPPERARY,Tiobraid Árann,ROSCREA-TEMPLEMORE,23392.261003517618519,-22670599.247616492211819
"1477",2ae19629-1c86-13a3-e055-000000000001,Y,NEWTOWN,AN BAILE NUA,"217140","1","23",SOUTH TIPPERARY,Tiobraid Árann,CARRICK-ON-SUIR,24410.786568739793438,-22039017.894307430833578
"1478",2ae19629-1c87-13a3-e055-000000000001,Y,NODSTOWN,BAILE NA NODACH,"217141","1","23",SOUTH TIPPERARY,Tiobraid Árann,CASHEL-TIPPERARY,29768.895393268088810,-21117180.103744722902775
